,Label
8851,1
521,0
6060,1
635,0
668,0
8551,1
813,0
6478,0
3534,0
10608,1
2211,0
9166,1
2533,0
8875,1
6629,1
7510,0
1171,1
8614,1
8751,0
4780,1
6870,0
3425,0
4903,1
1168,1
677,1
111,0
10311,1
10026,1
2698,0
6732,0
10148,1
7641,0
8074,1
8841,1
4634,0
9767,1
1714,0
10330,1
6714,0
2293,0
2387,0
2560,0
3060,0
6556,1
9327,1
6634,0
8932,1
3756,0
8794,1
3709,0
1863,0
4873,1
7673,0
6224,1
5999,1
618,0
5527,0
7532,0
1413,1
212,1
9426,1
8369,1
2702,0
7887,1
7098,0
542,0
1617,1
8322,1
9917,1
7243,0
9477,1
5034,0
8830,1
1411,1
3821,0
8335,1
1886,0
9863,1
1896,0
10223,1
9182,1
9043,1
8658,1
7605,0
2763,0
8334,1
1096,1
6216,1
9392,1
7179,0
7158,0
5778,1
8470,1
8026,1
2055,0
2502,0
5998,1
1847,0
786,0
1083,1
5720,1
9544,1
3792,0
8552,1
8100,1
5141,0
6506,1
2686,0
8183,1
9484,1
6937,0
3334,0
7058,0
9976,1
6793,0
1694,0
8571,1
9216,1
3099,0
1320,1
1576,1
7880,1
8399,0
5443,0
8632,1
1936,0
2929,1
6504,1
5561,0
1943,0
10393,1
3131,0
5375,1
1095,1
6582,1
9738,1
4674,1
8953,1
4371,1
6168,1
4793,0
5829,0
5483,0
4366,1
6524,1
5395,0
10024,0
3140,0
4007,1
7466,0
9905,1
9517,1
9850,1
2183,0
1455,1
4764,0
3315,0
8819,1
4081,1
8288,1
4948,1
3150,0
2386,0
8789,1
8587,1
7829,1
10568,1
7740,0
3803,0
6203,1
9617,1
1211,1
8867,1
3362,0
6373,1
5921,1
872,0
3197,0
5577,1
5376,1
4537,0
6000,1
1217,1
8336,1
1506,0
6780,0
4880,0
7989,1
7087,0
8291,1
7162,0
3929,0
6134,1
467,0
4585,1
8425,1
9839,1
4324,1
9312,1
3216,0
8622,1
1776,0
1435,1
2054,0
4941,1
3402,0
1752,0
4995,1
7986,1
9485,1
3152,0
6055,1
8306,1
10099,1
2907,0
4340,1
6281,1
4823,1
3824,0
957,1
3088,0
8781,1
2809,1
5914,1
2813,0
4047,1
1638,0
2537,0
4769,1
6857,0
5843,1
753,0
354,0
9191,1
3164,0
9370,1
8616,1
9661,1
1374,1
7452,0
8717,1
6912,1
4938,1
1552,0
7391,0
1849,0
205,1
5499,0
6010,0
4056,1
7710,0
7828,1
3136,0
1445,1
5637,1
7,1
5864,0
9892,1
2962,0
5057,1
10197,1
7352,0
5656,1
8468,1
8315,1
8863,1
5319,1
1220,1
4771,0
6402,1
1718,0
7921,1
2897,0
7413,1
3033,0
251,1
3478,0
2983,0
7279,0
1294,0
9575,1
2277,0
4219,1
1133,1
10517,1
4986,1
8271,1
1531,1
6180,1
9007,1
7767,1
3628,0
6112,1
6942,0
938,0
4399,1
7192,0
4496,0
6778,0
2836,0
9910,1
8931,1
2866,0
7841,1
6131,1
6711,1
6761,0
8135,1
2976,0
9793,1
2602,0
1197,0
879,1
5858,1
3324,0
7358,1
9542,1
8720,1
6438,1
9462,1
6466,0
4955,1
91,1
373,0
10586,1
4620,0
1620,0
5573,0
5365,1
8927,1
5351,1
5966,1
9795,1
393,1
6554,1
1807,0
3100,0
7155,0
2953,0
603,0
5661,1
9350,1
2965,0
9000,1
9870,1
6098,0
2743,0
3109,0
3983,0
10346,1
4308,1
7423,0
1250,1
8329,1
5695,1
9004,1
3059,0
4263,1
5712,1
6975,0
6177,1
10228,1
4650,1
10149,1
4579,0
770,1
1395,0
5781,1
7719,0
3329,0
645,0
263,1
6425,1
3937,0
3921,0
1692,0
3623,0
7222,0
6638,0
7325,0
1340,1
5706,1
934,1
1980,0
1938,0
3458,0
7747,0
8020,1
3020,0
2732,0
6992,0
10609,1
6710,0
6751,0
2290,0
10163,0
7240,0
3094,0
9479,1
9903,1
8802,1
2396,0
615,1
8494,1
196,1
3127,0
5672,1
4191,1
2336,0
2409,0
6310,1
847,0
241,1
8784,1
1612,1
9909,1
5474,0
3184,0
8366,1
3597,0
10576,1
1480,1
634,0
2653,0
7433,0
5338,1
418,0
2372,0
5314,1
6817,0
944,1
8423,1
7426,1
10245,1
1193,0
67,1
2151,0
4555,0
5519,0
3962,0
8747,1
7337,0
2288,0
5609,0
8469,1
2924,0
9329,1
3486,0
1749,0
4445,0
9785,0
3476,0
4808,0
2642,0
3208,0
3379,0
2696,0
10220,1
1810,0
6318,1
7085,0
3162,0
9781,0
10499,1
2230,0
1988,0
7700,0
8519,1
1055,0
172,1
7566,0
9373,1
322,1
681,0
3037,0
1066,1
3984,0
70,1
1664,1
6906,0
2403,0
2184,0
1898,0
2401,0
8310,1
381,1
10217,1
4748,0
2033,0
4174,1
21,1
8895,1
2189,0
1926,0
8783,1
9206,1
2747,0
1494,1
1605,1
2661,0
6802,0
6367,1
9667,1
7590,0
10125,1
2808,0
5257,0
10615,1
2729,0
7497,0
5621,0
5686,1
8431,1
1386,1
873,0
9115,1
287,1
1517,0
9649,1
9099,1
7721,0
9988,1
279,0
9117,1
2787,0
1526,1
7092,0
10614,1
6534,1
6805,0
9368,1
7045,0
1585,0
8703,1
9095,1
2427,0
10327,1
6969,0
2353,0
6777,0
5903,1
4100,1
622,0
9359,1
8546,1
1227,1
6086,1
7780,0
6598,1
8172,1
5409,1
1690,0
3673,0
8066,1
8054,1
10296,1
4425,0
9933,1
4004,1
5072,0
8612,1
8940,1
2404,0
46,1
3479,0
4914,1
1233,1
6597,1
4038,1
1448,1
3195,0
7744,0
6453,1
7304,0
58,1
1419,1
3557,0
443,0
3708,0
3407,0
9772,0
9709,1
2382,0
6552,1
2296,0
6972,0
319,1
7427,0
3125,0
3172,0
8588,1
7008,0
6176,1
3460,0
7333,0
1600,1
2345,0
2717,0
7629,0
10397,1
10402,1
7040,0
8987,0
4683,1
2121,0
1406,0
8887,1
6062,1
839,1
720,1
4013,1
2102,0
6,1
10293,1
7608,0
8189,1
8740,1
8951,1
4702,1
7543,0
8062,1
485,0
10331,1
3196,0
4121,1
5953,1
4491,1
9271,1
5329,1
5473,0
3982,0
1583,1
4058,1
4867,1
7472,0
59,1
9496,1
10344,1
6595,1
8644,1
2390,0
4024,1
9913,1
9922,1
3490,0
7937,1
9332,1
4718,0
9476,1
85,1
6712,1
9321,1
5508,0
8744,1
900,0
8364,1
7785,0
6266,1
153,0
8071,1
2713,0
5806,0
10167,1
10580,1
7849,1
5133,1
5997,1
2718,0
8827,1
1297,1
3695,0
5682,1
9900,1
3871,0
7278,0
409,0
5859,1
8344,1
4659,0
1068,1
4982,0
7669,0
1408,0
4299,1
220,1
98,1
10485,1
2510,0
895,0
9694,1
9068,1
1302,1
778,1
8654,1
2432,0
8305,1
6729,1
9647,1
7496,0
8904,1
359,0
6566,1
1381,1
7551,0
8786,1
3942,1
4835,0
3272,0
499,0
2534,0
4870,1
1087,1
2546,0
8363,1
4178,1
5962,1
7968,1
5485,0
2330,0
5142,0
7247,0
5393,0
3323,0
10313,1
4284,1
8293,1
7892,1
5510,0
6893,0
293,1
4672,1
2750,0
7738,0
9692,1
4545,1
8978,1
3483,0
2444,0
6056,1
6788,1
10282,1
5587,1
10349,1
6723,1
7846,1
4336,1
10391,1
6247,0
6861,0
7020,0
3963,0
1019,0
10584,1
6846,0
8412,1
1759,0
6877,0
9532,1
7757,0
691,0
9102,1
6532,0
